108,55
126,55
125,56
127,55
51,56
125,57
126,57
125,57
127,57
126,58
126,58
126,58
126,58
126,58
126,58
127,58
127,57
127,58
127,60
127,49
95,62
128,60
80,103
132,61
132,62
148,59
108,63
117,62
119,62
119,62
119,61
118,62
118,62
127,63
128,60
129,62
125,63
127,64
127,64
127,70
127,65
127,74
134,70
127,66
130,58
118,61
118,61
101,63
117,64
119,64
118,64
118,62
118,62
118,62
117,62
117,62
116,61
116,61
117,62
105,63
115,64
115,64
115,65
115,63
114,63
115,63
114,64
113,61
115,60
113,62
114,63
114,62
113,58
116,58
112,62
116,65
115,82
140,55
140,67
139,94
140,50
136,49
77,49
87,47
90,47
55,47
60,41
73,46
52,48
54,48
46,48
72,54
85,48
67,48
140,43
49,49
104,50
39,52
47,51
49,54
50,56
51,56
80,53
51,52
125,51
96,53
137,54
136,56
137,55
136,55
136,54
137,54
137,54
136,53
137,53
137,53
137,55
135,56
136,52
137,51
139,45
138,39
138,39
132,41
37,43
35,42
45,43
108,39
114,39
129,39
130,36
133,53
134,55
117,72
120,71
125,40
109,45
124,41
116,41
114,45
115,43
84,41
99,41
87,40
89,40
77,40
85,39
84,44
86,40
89,40
89,40
89,39
82,40
95,41
86,44
85,44
86,44
84,43
84,38
95,44
94,43
75,43
94,69
94,60
95,62
91,65
98,90
97,61
98,64
101,64
100,64
108,64
98,63
97,61
97,62
97,61
96,64
96,64
96,61
96,64
95,63
95,60
95,40
93,58
92,57
93,55
87,65
90,63
90,58
87,49
86,53
54,53
52,52
66,52
59,55
40,52
41,54
34,54
38,50
38,49
34,51
32,48
31,47
32,47
34,54
34,54
35,53
34,52
34,52
34,51
32,52
33,52
34,41
33,48
32,50
32,48
35,49
36,52
36,48
36,53
