#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,timestamp
,,44,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T14:00:00Z,58,external,light,1658930221872
,,45,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T14:00:00Z,61,external,light,1658930252943
,,46,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T14:00:00Z,61,external,light,1658930278010
,,47,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T14:00:00Z,63,external,light,1658930303053
,,48,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T14:00:00Z,64,external,light,1658930334100
,,49,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T14:00:00Z,64,external,light,1658930359153
,,50,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T14:00:00Z,64,external,light,1658930384205
,,51,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,62,external,light,1658930410026
,,52,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,62,external,light,1658930434291
,,53,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,62,external,light,1658930459346
,,54,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,62,external,light,1658930484375
,,55,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,62,external,light,1658930509438
,,56,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,61,external,light,1658930534492
,,57,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,61,external,light,1658930565569
,,58,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,62,external,light,1658930591383
,,59,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,63,external,light,1658930651744
,,60,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,64,external,light,1658930676801
,,61,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,64,external,light,1658930701862
,,62,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,65,external,light,1658930726896
,,63,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,63,external,light,1658930763939
,,64,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,63,external,light,1658930789074
,,65,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,63,external,light,1658930820044
,,66,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,64,external,light,1658930845117
,,67,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,61,external,light,1658930870171
,,68,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,60,external,light,1658930901215
,,69,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,62,external,light,1658930926285
,,70,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,63,external,light,1658930951332
,,71,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,62,external,light,1658930976394
,,72,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,58,external,light,1658931001434
,,73,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,58,external,light,1658931032485
,,74,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,62,external,light,1658931051534
,,75,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,65,external,light,1658931082585
,,76,2022-06-27T18:59:52.149986477Z,2022-07-27T18:59:52.149986477Z,2022-07-27T15:00:00Z,82,external,light,1658931101636
