#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,timestamp
,,44,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T14:00:00Z,130,internal,light,1658930034470
,,45,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T14:00:00Z,118,internal,light,1658930215874
,,46,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T14:00:00Z,118,internal,light,1658930246920
,,47,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T14:00:00Z,101,internal,light,1658930272011
,,48,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T14:00:00Z,117,internal,light,1658930297050
,,49,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T14:00:00Z,119,internal,light,1658930328193
,,50,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T14:00:00Z,118,internal,light,1658930353159
,,51,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T14:00:00Z,118,internal,light,1658930378192
,,52,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,118,internal,light,1658930410026
,,53,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,118,internal,light,1658930432367
,,54,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,117,internal,light,1658930453330
,,55,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,117,internal,light,1658930478379
,,56,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,116,internal,light,1658930503436
,,57,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,116,internal,light,1658930528486
,,58,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,117,internal,light,1658930553541
,,59,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,105,internal,light,1658930586886
,,60,2022-06-27T18:59:01.358593898Z,2022-07-27T18:59:01.358593898Z,2022-07-27T15:00:00Z,115,internal,light,1658930645822
