#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,timestamp
,,44,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,80,internal,light,1658928713911
,,45,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,103,external,light,1658928749930
,,46,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,132,internal,light,1658928768966
,,47,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,61,external,light,1658928804990
,,48,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,132,internal,light,1658928824016
,,49,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,62,external,light,1658928830033
,,50,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,148,internal,light,1658928885071
,,51,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,59,external,light,1658928891065
,,52,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,108,internal,light,1658929216526
,,53,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,63,external,light,1658929228543
,,54,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,117,internal,light,1658929247573
,,55,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,62,external,light,1658929253583
,,56,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,119,internal,light,1658929281846
,,57,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,62,external,light,1658929285895
,,58,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,119,internal,light,1658929329668
,,59,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,62,external,light,1658929335617
,,60,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,119,internal,light,1658929354671
,,61,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,61,external,light,1658929360670
,,62,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,118,internal,light,1658929379717
,,63,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,62,external,light,1658929385726
,,64,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,118,internal,light,1658929410839
,,65,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,62,external,light,1658929416833
,,66,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,127,internal,light,1658929441918
,,67,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,63,external,light,1658929447878
,,68,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,128,internal,light,1658929466933
,,69,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,60,external,light,1658929472941
,,70,2022-06-27T14:09:27.907472044Z,2022-07-27T14:09:27.907472044Z,2022-07-27T14:00:00Z,129,internal,light,1658929498042
